curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
-1,8,9,10,11,12,13,14,15,16
-1,8,9,10,11,12,13,14,15,16
-1,8,9,10,11,12,13,14,15,16
-1,8,9,10,11,12,13,14,15,16
-1,8,9,10,11,12,13,14,15,16
-1,17,18,19,20,21,22,23,24,25
-1,17,18,19,20,21,22,23,24,25
-1,17,18,19,20,21,22,23,24,25
-1,17,18,19,20,21,22,23,24,25
-1,17,18,19,20,21,22,23,24,25
-1,17,18,19,20,21,22,23,24,25
-1,17,18,19,20,21,22,23,24,25
-1,17,18,19,20,21,22,23,24,25
-1,17,18,19,20,21,22,23,24,25
-1,17,18,19,20,21,22,23,24,25
-1,26,27,28,29,30,31,32,33,34
-1,26,27,28,29,30,31,32,33,34
-1,26,27,28,29,30,31,32,33,34
-1,26,27,28,29,30,31,32,33,34
-1,26,27,28,29,30,31,32,33,34
-1,26,27,28,29,30,31,32,33,34
-1,26,27,28,29,30,31,32,33,34
-1,26,27,28,29,30,31,32,33,34
-1,26,27,28,29,30,31,32,33,34
-1,26,27,28,29,30,31,32,33,34
-1,35,36,37,38,39,40,41,42,43
-1,35,36,37,38,39,40,41,42,43
-1,35,36,37,38,39,40,41,42,43
-1,35,36,37,38,39,40,41,42,43
-1,35,36,37,38,39,40,41,42,43
-1,35,36,37,38,39,40,41,42,43
-1,35,36,37,38,39,40,41,42,43
-1,35,36,37,38,39,40,41,42,43
-1,35,36,37,38,39,40,41,42,43
-1,35,36,37,38,39,40,41,42,43
-1,1,2,3,4,5,6,7,42,43
-1,1,2,3,4,5,6,7,42,43
-1,1,2,3,4,5,6,7,42,43
-1,1,2,3,4,5,6,7,42,43
-1,1,2,3,4,5,6,7,42,43
-1,1,2,3,4,5,6,7,42,43
-1,1,2,3,4,5,6,7,42,43
-1,1,2,3,4,5,6,7,42,43
